


央视频道,#genre#
CCTV4,http://1.31.14.70:54321/hls/13/index.m3u8
CCTV4,http://39.152.103.17:8089/tsfile/live/1003_1.m3u8
CCTV4,http://112.46.85.60:8009/hls/4/index.m3u8
CCTV4,http://183.222.242.31:8088/hls/4/index.m3u8

CCTV5,http://1.31.14.70:54321/hls/7/index.m3u8
CCTV5,http://39.152.103.17:8089/tsfile/live/1004_1.m3u8

CCTV6,http://1.31.14.70:54321/hls/8/index.m3u8
CCTV6,http://39.152.103.17:8089/tsfile/live/1005_1.m3u8
CCTV6,http://112.46.85.60:8009/hls/6/index.m3u8

CCTV7,http://1.31.14.70:54321/hls/9/index.m3u8
CCTV7,http://39.152.103.17:8089/tsfile/live/1006_1.m3u8

CCTV8,http://1.31.14.70:54321/hls/14/index.m3u8
CCTV8,http://39.152.103.17:8089/tsfile/live/1007_1.m3u8
CCTV8,http://112.46.85.60:8009/hls/8/index.m3u8


CCTV9,http://1.31.14.70:54321/hls/10/index.m3u8
CCTV9,http://39.152.103.17:8089/tsfile/live/1008_1.m3u8

CCTV10,http://1.31.14.70:54321/hls/11/index.m3u8
CCTV10,http://39.152.103.17:8089/tsfile/live/1009_1.m3u8

CCTV11,http://1.31.14.70:54321/hls/16/index.m3u8
CCTV11,http://39.152.103.17:8089/tsfile/live/1010_1.m3u8
CCTV11,http://112.46.85.60:8009/hls/11/index.m3u8

CCTV12,http://1.31.14.70:54321/hls/12/index.m3u8
CCTV12,http://39.152.103.17:8089/tsfile/live/1011_1.m3u8

CCTV13,http://1.31.14.70:54321/hls/19/index.m3u8
CCTV13,http://39.152.103.17:8089/tsfile/live/1012_1.m3u8

CCTV14,http://1.31.14.70:54321/hls/22/index.m3u8
CCTV14,http://39.152.103.17:8089/tsfile/live/1013_1.m3u8
CCTV14,http://112.46.85.60:8009/hls/14/index.m3u8

CCTV15,
CCTV15,http://39.152.103.17:8089/tsfile/live/1014_1.m3u8
CCTV15,http://112.46.85.60:8009/hls/15/index.m3u8


CCTV16,
CCTV16,http://39.152.103.17:8089/tsfile/live/1015_1.m3u8

CCTV17,
CCTV17,http://39.152.103.17:8089/tsfile/live/1016_1.m3u8

CGTN,http://1.31.14.70:54321/hls/21/index.m3u8
CGTN,http://112.46.85.60:8009/hls/16/index.m3u8

CHC动作电影,http://39.152.103.17:8089/tsfile/live/1045_1.m3u8


卫视频道,#genre#
源1
江苏卫视,http://38.75.136.137:98/gslb/dsdqpub/jswshd.m3u8?auth=testpub
浙江卫视,http://38.75.136.137:98/gslb/dsdqpub/zjwshd.m3u8?auth=testpub
口令3344,https://mpimg.cn/view.php/739fc0a0a7b0c5cad5504ab865cb7bbf.mp4
北京卫视,http://38.75.136.137:98/gslb/dsdqpub/bjwshd.m3u8?auth=testpub
湖南卫视,http://38.75.136.137:98/gslb/dsdqpub/hnwshd.m3u8?auth=testpub
东方卫视,http://38.75.136.137:98/gslb/dsdqpub/dfwshd.m3u8?auth=testpub
广东卫视,http://38.75.136.137:98/gslb/dsdqpub/gdwshd.m3u8?auth=testpub
安徽卫视,http://38.75.136.137:98/gslb/dsdqpub/ahwshd.m3u8?auth=testpub
内蒙古卫视,http://38.75.136.137:98/gslb/dsdqpub/nmgws.m3u8?auth=testpub
黑龙江卫视,http://38.75.136.137:98/gslb/dsdqpub/hljwshd.m3u8?auth=testpub
湖北卫视,http://38.75.136.137:98/gslb/dsdqpub/hbwshd.m3u8?auth=testpub
西藏卫视,http://38.75.136.137:98/gslb/dsdqpub/xzws.m3u8?auth=testpub
江西卫视,http://38.75.136.137:98/gslb/dsdqpub/jxwshd.m3u8?auth=testpub
山东卫视,http://38.75.136.137:98/gslb/dsdqpub/sdwshd.m3u8?auth=testpub
河北卫视,http://38.75.136.137:98/gslb/dsdqpub/hewshd.m3u8?auth=testpub
天津卫视,http://38.75.136.137:98/gslb/dsdqpub/tjwshd.m3u8?auth=testpub
四川卫视,http://38.75.136.137:98/gslb/dsdqpub/scwshd.m3u8?auth=testpub
贵州卫视,http://38.75.136.137:98/gslb/dsdqpub/gzwshd.m3u8?auth=testpub
辽宁卫视,http://38.75.136.137:98/gslb/dsdqpub/lnwshd.m3u8?auth=testpub
陕西卫视,http://38.75.136.137:98/gslb/dsdqpub/snwshd.m3u8?auth=testpub
海南卫视,http://38.75.136.137:98/gslb/dsdqpub/lywshd.m3u8?auth=testpub
